Date,Open,High,Low,Close,Adj Close,Volume
2018-01-18,2.930000,2.930000,2.800000,2.880000,2.880000,937500
2018-01-19,2.920000,3.020000,2.830000,2.910000,2.910000,826700
2018-01-22,2.950000,3.110000,2.840000,2.970000,2.970000,831600
2018-01-23,3.010000,3.178000,2.880000,3.070000,3.070000,563100
2018-01-24,3.070000,3.150000,2.950000,3.030000,3.030000,198600
2018-01-25,3.010000,3.030000,2.880000,2.880000,2.880000,168600
2018-01-26,2.930000,3.000000,2.890000,2.960000,2.960000,123100
2018-01-29,2.980000,2.980000,2.850000,2.880000,2.880000,215100
2018-01-30,2.850000,2.894000,2.710000,2.740000,2.740000,221100
2018-01-31,2.800000,2.940000,2.740000,2.780000,2.780000,213000
2018-02-01,2.790000,2.820000,2.700000,2.720000,2.720000,132000
2018-02-02,2.680000,2.749000,2.630000,2.670000,2.670000,100000
2018-02-05,2.650000,2.690000,2.550000,2.600000,2.600000,120400
2018-02-06,2.550000,2.690000,2.420000,2.690000,2.690000,351500
2018-02-07,2.880000,2.880000,2.580000,2.620000,2.620000,149400
2018-02-08,2.560000,2.920000,2.450000,2.920000,2.920000,387400
2018-02-09,2.150000,2.570000,2.140000,2.350000,2.350000,6296500
2018-02-12,2.480000,2.550000,2.290000,2.410000,2.410000,1649300
2018-02-13,2.340000,2.470000,2.250000,2.430000,2.430000,889000
2018-02-14,2.580000,2.630000,2.370000,2.500000,2.500000,1893700
2018-02-15,2.500000,2.590000,2.320000,2.410000,2.410000,1016000
2018-02-16,2.540000,2.540000,2.390000,2.430000,2.430000,739500
2018-02-20,2.460000,2.750000,2.460000,2.720000,2.720000,1617500
2018-02-21,2.750000,3.140000,2.640000,2.990000,2.990000,3088800
2018-02-22,3.000000,3.320000,2.870000,3.100000,3.100000,2314700
2018-02-23,3.150000,3.240000,2.780000,2.860000,2.860000,2665500
2018-02-26,3.040000,3.200000,3.020000,3.100000,3.100000,2031200
2018-02-27,3.290000,3.300000,3.100000,3.240000,3.240000,1940100
2018-02-28,3.310000,3.327000,3.050000,3.160000,3.160000,1198600
2018-03-01,3.170000,3.390000,3.000000,3.390000,3.390000,1226800
2018-03-02,3.430000,4.220000,3.201000,3.890000,3.890000,5006800
2018-03-05,3.930000,4.290000,3.760000,3.880000,3.880000,4179900
2018-03-06,3.890000,4.100000,3.810000,3.950000,3.950000,1637000
2018-03-07,3.910000,3.970000,3.810000,3.970000,3.970000,1118900
2018-03-08,4.040000,4.215000,3.950000,4.050000,4.050000,1503900
2018-03-09,4.050000,4.100000,3.890000,3.940000,3.940000,802600
2018-03-12,3.950000,3.960000,3.651000,3.860000,3.860000,1091000
2018-03-13,3.950000,3.960000,3.680000,3.720000,3.720000,604900
2018-03-14,3.750000,3.900000,3.650000,3.880000,3.880000,686900
2018-03-15,3.900000,3.970000,3.120000,3.860000,3.860000,480300
2018-03-16,3.900000,4.141000,3.840000,4.040000,4.040000,1759000
2018-03-19,4.050000,4.090000,3.720000,3.840000,3.840000,782200
2018-03-20,3.850000,3.880000,3.700000,3.790000,3.790000,561600
2018-03-21,3.760000,3.970000,3.695000,3.700000,3.700000,660600
2018-03-22,3.690000,3.875000,3.651000,3.790000,3.790000,480100
2018-03-23,4.140000,4.200000,3.900000,3.990000,3.990000,2738800
2018-03-26,4.100000,4.190000,3.930000,4.130000,4.130000,1108200
2018-03-27,4.140000,4.590000,4.000000,4.510000,4.510000,3571400
2018-03-28,4.700000,4.900000,4.460000,4.760000,4.760000,4193200
2018-03-29,4.790000,5.230000,4.670000,4.960000,4.960000,2914200
2018-04-02,4.980000,5.150000,4.750000,4.900000,4.900000,1537000
2018-04-03,4.990000,5.190000,4.810000,5.160000,5.160000,1677700
2018-04-04,5.120000,5.470000,5.010000,5.410000,5.410000,2138600
2018-04-05,5.410000,5.600000,5.300000,5.520000,5.520000,1755900
2018-04-06,5.400000,5.880000,5.400000,5.750000,5.750000,2361700
2018-04-09,5.820000,5.850000,5.410000,5.720000,5.720000,1953000
2018-04-10,5.950000,7.220000,5.910000,7.010000,7.010000,6683700
2018-04-11,7.000000,7.950000,6.850000,7.010000,7.010000,6403000
2018-04-12,7.020000,7.190000,6.620000,6.910000,6.910000,2450700
2018-04-13,6.950000,7.400000,6.760000,7.110000,7.110000,1718200
2018-04-16,7.140000,7.590000,7.120000,7.550000,7.550000,1814500
2018-04-17,7.600000,7.750000,7.300000,7.650000,7.650000,1934500
2018-04-18,7.640000,7.730000,7.400000,7.560000,7.560000,1400800
2018-04-19,7.510000,7.610000,7.130000,7.350000,7.350000,1667000
2018-04-20,7.320000,7.630000,7.188000,7.440000,7.440000,894200
2018-04-23,7.330000,7.530000,7.230000,7.370000,7.370000,822300
2018-04-24,7.510000,7.510000,6.760000,7.090000,7.090000,1304700
2018-04-25,7.050000,7.400000,6.820000,7.230000,7.230000,1254200
2018-04-26,7.300000,8.200000,7.250000,7.990000,7.990000,2746200
2018-04-27,7.050000,7.850000,7.000000,7.800000,7.800000,2495700
2018-04-30,7.810000,8.090000,7.430000,7.630000,7.630000,1186400
2018-05-01,7.650000,7.939000,7.640000,7.790000,7.790000,947000
2018-05-02,7.750000,8.270000,7.680000,7.840000,7.840000,2409600
2018-05-03,7.950000,8.115000,7.863000,8.000000,8.000000,993000
2018-05-04,8.020000,8.135000,7.800000,8.100000,8.100000,1216900
2018-05-07,8.250000,8.610000,8.250000,8.530000,8.530000,1939400
2018-05-08,8.460000,8.800000,8.360000,8.800000,8.800000,1480300
2018-05-09,8.840000,9.050000,8.350000,8.900000,8.900000,1560300
2018-05-10,8.950000,9.080000,8.850000,8.900000,8.900000,1698600
2018-05-11,8.900000,9.000000,8.320000,8.900000,8.900000,2541700
2018-05-14,9.560000,11.300000,9.340000,11.145000,11.145000,7438200
2018-05-15,10.760000,12.050000,10.750000,11.890000,11.890000,3498400
2018-05-16,11.900000,11.970000,11.380000,11.690000,11.690000,1942000
2018-05-17,11.670000,11.962000,11.400000,11.690000,11.690000,901900
2018-05-18,11.690000,12.950000,11.571000,12.830000,12.830000,2911500
2018-05-21,13.160000,13.210000,12.120000,12.290000,12.290000,2547900
2018-05-22,12.280000,13.060000,12.120000,13.010000,13.010000,1572600
2018-05-23,13.010000,13.790000,12.880000,13.750000,13.750000,2255600
2018-05-24,13.750000,14.300000,13.378000,13.830000,13.830000,1853600
2018-05-25,13.710000,14.588000,13.450000,14.200000,14.200000,1727300
2018-05-29,14.260000,14.450000,11.620000,13.030000,13.030000,3929600
2018-05-30,13.110000,14.290000,13.030000,14.250000,14.250000,1664700
2018-05-31,14.290000,15.240000,13.600000,14.030000,14.030000,2810200
2018-06-01,14.030000,14.450000,13.530000,14.430000,14.430000,1809800
2018-06-04,14.550000,15.420000,14.310000,15.210000,15.210000,3017700
2018-06-05,15.430000,16.430000,15.100000,15.390000,15.390000,2675100
2018-06-06,15.360000,16.250000,15.360000,15.980000,15.980000,1751300
2018-06-07,15.900000,16.370001,15.110000,15.640000,15.640000,1570800
2018-06-08,15.550000,16.150000,15.480000,15.640000,15.640000,1271500
2018-06-11,15.750000,16.600000,15.710000,16.330000,16.330000,1600300
2018-06-12,16.520000,17.809999,16.500000,17.700001,17.700001,2171500
2018-06-13,17.809999,19.350000,15.500000,17.760000,17.760000,4335000
2018-06-14,18.299999,18.860001,17.500000,18.860001,18.860001,1699600
2018-06-15,18.790001,20.070000,18.600000,19.910000,19.910000,3229000
2018-06-18,20.230000,20.709999,18.100000,19.639999,19.639999,4503400
2018-06-19,19.299999,20.200001,19.209999,19.620001,19.620001,1851800
2018-06-20,19.650000,21.500000,19.629999,20.680000,20.680000,2620500
2018-06-21,21.040001,21.480000,19.490000,20.309999,20.309999,2760800
2018-06-22,23.600000,25.500000,21.799999,23.150000,23.150000,17879100
2018-06-25,23.160000,24.590000,23.010000,23.540001,23.540001,5492200
2018-06-26,23.680000,23.830000,21.420000,23.639999,23.639999,4189600
2018-06-27,23.660000,23.750000,21.660000,22.610001,22.610001,3547800
2018-06-28,22.110001,22.959999,20.650000,22.389999,22.389999,3186500
2018-06-29,22.270000,22.990000,21.795000,22.020000,22.020000,1581300
2018-07-02,21.740000,21.889999,20.080000,21.395000,21.395000,2487800
2018-07-03,21.170000,22.757999,20.830000,21.990000,21.990000,1323700
2018-07-05,22.370001,23.280001,22.240000,23.139999,23.139999,1534900
2018-07-06,23.049999,24.299999,23.000000,23.049999,23.049999,1813600
2018-07-09,23.600000,23.860001,22.559999,22.910000,22.910000,1546100
2018-07-10,23.000000,23.280001,22.690001,22.879999,22.879999,705300
2018-07-11,22.559999,24.480000,22.459999,24.320000,24.320000,2417900
2018-07-12,24.490000,26.240000,24.270000,25.450001,25.450001,3178700
2018-07-13,25.850000,26.200001,24.590000,25.889999,25.889999,2111400
2018-07-16,25.980000,27.250000,25.450001,26.930000,26.930000,3373300
2018-07-17,27.350000,27.889000,26.056000,27.000000,27.000000,3127600
2018-07-18,26.900000,26.980000,25.820000,26.139999,26.139999,2000700
2018-07-19,25.809999,26.930000,25.730000,26.610001,26.610001,1176500
2018-07-20,26.629999,27.250000,26.120001,26.889999,26.889999,1526800
2018-07-23,26.980000,28.379999,26.500000,28.129999,28.129999,1685000
2018-07-24,28.450001,28.900000,25.520000,26.510000,26.510000,3384300
2018-07-25,26.480000,28.000000,26.120001,27.459999,27.459999,1549200
2018-07-26,27.340000,27.450001,25.900000,26.959999,26.959999,1542000
2018-07-27,27.000000,27.080000,24.030001,25.600000,25.600000,3158000
2018-07-30,25.510000,25.799999,24.030001,24.840000,24.840000,2014200
2018-07-31,24.950001,28.150000,24.740000,27.559999,27.559999,3884400
2018-08-01,27.580000,28.950001,26.850000,28.570000,28.570000,2632100
2018-08-02,28.629999,32.049999,28.629999,31.389999,31.389999,4324900
2018-08-03,30.150000,33.439999,29.780001,33.029999,33.029999,7442100
2018-08-06,33.497002,33.930000,31.290001,32.330002,32.330002,4123700
2018-08-07,32.200001,32.900002,30.500000,30.750000,30.750000,3600100
2018-08-08,31.000000,31.420000,29.500000,30.299999,30.299999,2415800
2018-08-09,30.740000,32.020000,30.559999,31.440001,31.440001,2139300
2018-08-10,31.120001,32.400002,30.559999,30.900000,30.900000,1650300
2018-08-13,30.860001,32.200001,30.660000,31.690001,31.690001,1780000
2018-08-14,31.610001,33.799999,31.610001,33.509998,33.509998,2985200
2018-08-15,33.270000,34.199001,31.969999,33.029999,33.029999,1998000
2018-08-16,33.000000,35.049999,32.370998,33.910000,33.910000,2437200
2018-08-17,33.910000,34.860001,33.158001,33.880001,33.880001,3730200
2018-08-20,34.650002,36.230000,34.119999,35.959999,35.959999,2833300
2018-08-21,36.180000,36.919998,35.540001,35.930000,35.930000,2586700
2018-08-22,35.750000,38.400002,35.750000,38.040001,38.040001,3813000
2018-08-23,38.200001,39.750000,38.012001,38.610001,38.610001,3364500
2018-08-24,39.700001,40.040001,36.310001,38.369999,38.369999,4580000
2018-08-27,38.500000,41.970001,38.500000,41.400002,41.400002,4089100
2018-08-28,41.500000,42.430000,40.009998,40.590000,40.590000,2854000
