Date,Open,High,Low,Close,Adj Close,Volume
2018-01-18,117.199997,118.800003,114.199997,115.000000,115.000000,238900
2018-01-19,116.699997,118.099998,115.900002,116.699997,116.699997,184100
2018-01-22,116.800003,117.099998,115.500000,116.300003,116.300003,160800
2018-01-23,111.800003,117.000000,110.599998,116.800003,116.800003,242000
2018-01-24,123.500000,128.699997,123.000000,127.699997,127.699997,486300
2018-01-25,126.599998,129.000000,118.000000,121.300003,121.300003,605800
2018-01-26,122.800003,125.500000,122.500000,123.699997,123.699997,410400
2018-01-29,120.400002,120.500000,117.099998,118.800003,118.800003,235700
2018-01-30,121.300003,121.300003,116.400002,117.199997,117.199997,204300
2018-01-31,119.900002,122.900002,118.000000,121.800003,121.800003,361400
2018-02-01,117.400002,120.099998,116.900002,119.699997,119.699997,323200
2018-02-02,114.199997,114.199997,105.900002,106.199997,106.199997,557900
2018-02-05,111.699997,112.099998,107.800003,108.599998,108.599998,338600
2018-02-06,108.099998,108.400002,106.000000,106.400002,106.400002,202500
2018-02-07,103.500000,104.599998,99.800003,101.099998,101.099998,279900
2018-02-08,103.099998,103.599998,101.199997,102.099998,102.099998,193500
2018-02-09,100.900002,100.900002,98.199997,100.800003,100.800003,249000
2018-02-12,103.000000,106.300003,102.800003,104.599998,104.599998,210700
2018-02-13,104.599998,106.099998,103.099998,105.400002,105.400002,173400
2018-02-14,106.300003,112.500000,105.699997,111.400002,111.400002,349200
2018-02-15,111.099998,111.800003,106.599998,111.400002,111.400002,287900
2018-02-16,109.300003,110.500000,106.000000,107.599998,107.599998,279700
2018-02-20,106.599998,107.099998,102.199997,103.099998,103.099998,261400
2018-02-21,105.199997,108.699997,102.699997,103.300003,103.300003,210400
2018-02-22,104.800003,106.900002,104.199997,105.699997,105.699997,124900
2018-02-23,104.800003,104.800003,103.400002,103.699997,103.699997,136700
2018-02-26,105.500000,106.000000,103.099998,105.900002,105.900002,155700
2018-02-27,105.000000,105.199997,100.099998,101.699997,101.699997,206400
2018-02-28,102.300003,103.300003,100.900002,101.300003,101.300003,143200
2018-03-01,98.500000,104.000000,96.599998,102.900002,102.900002,391900
2018-03-02,104.199997,104.599998,102.000000,103.400002,103.400002,196000
2018-03-05,101.699997,102.199997,100.500000,101.900002,101.900002,193400
2018-03-06,106.199997,110.099998,105.900002,107.800003,107.800003,365000
2018-03-07,105.000000,105.000000,101.500000,102.599998,102.599998,336300
2018-03-08,102.800003,103.000000,101.500000,102.699997,102.699997,175300
2018-03-09,101.900002,106.400002,101.300003,104.699997,104.699997,253200
2018-03-12,102.400002,104.099998,101.900002,103.800003,103.800003,191200
2018-03-13,102.400002,105.300003,101.900002,104.099998,104.099998,142700
2018-03-14,103.900002,104.300003,103.000000,103.900002,103.900002,106300
2018-03-15,101.900002,102.099998,100.300003,100.599998,100.599998,259800
2018-03-16,100.900002,101.000000,97.199997,99.300003,99.300003,309300
2018-03-19,98.800003,99.800003,97.699997,99.300003,99.300003,192300
2018-03-20,98.000000,98.000000,95.400002,96.900002,96.900002,292200
2018-03-21,101.500000,105.500000,99.900002,104.500000,104.500000,620100
2018-03-22,101.800003,102.099998,99.199997,100.400002,100.400002,367100
2018-03-23,104.900002,105.599998,103.000000,103.000000,103.000000,280000
2018-03-26,106.000000,107.900002,105.699997,106.000000,106.000000,285800
2018-03-27,103.900002,104.000000,101.800003,102.500000,102.500000,266900
2018-03-28,99.500000,99.699997,97.300003,98.099998,98.099998,374400
2018-03-29,97.099998,99.400002,97.000000,99.099998,99.099998,204000
2018-04-02,103.400002,105.300003,102.699997,104.099998,104.099998,392400
2018-04-03,101.099998,101.300003,99.000000,100.099998,100.099998,187000
2018-04-04,98.300003,99.500000,97.000000,98.199997,98.199997,332800
2018-04-05,96.300003,100.099998,96.099998,99.599998,99.599998,255400
2018-04-06,101.199997,101.500000,98.599998,99.099998,99.099998,157400
2018-04-09,100.199997,102.599998,99.300003,101.699997,101.699997,209300
2018-04-10,104.000000,104.500000,102.000000,103.099998,103.099998,174400
2018-04-11,104.099998,108.900002,104.000000,104.800003,104.800003,394400
2018-04-12,102.099998,102.300003,100.500000,101.099998,101.099998,232100
2018-04-13,103.400002,105.000000,103.400002,104.099998,104.099998,183700
2018-04-16,105.599998,106.599998,104.400002,104.800003,104.800003,218100
2018-04-17,105.000000,107.300003,104.400002,106.800003,106.800003,160400
2018-04-18,114.000000,116.300003,112.800003,114.699997,114.699997,502700
